,Date,walk_time_hour,count,calorie,distance,Duration_in_min
313,2018-12-19,23,63,2.5700000399999996,48.611,2.9833333333333334
314,2018-12-20,2,7,0.32,5.2,0.9833333333333333
315,2018-12-20,3,112,4.629999999999999,77.341,4.933333333333334
316,2018-12-20,4,49,1.97,30.83,0.9833333333333333
317,2018-12-20,11,18,0.83,15.55,0.9833333333333333
318,2018-12-20,12,528,22.35999995,382.25600000000003,14.76666666666666
319,2018-12-20,13,84,4.87,76.15,4.0
320,2018-12-20,14,118,5.12,90.19800000000001,1.9666666666666666
321,2018-12-20,15,259,10.83,187.66899999999998,6.883333333333333
322,2018-12-20,16,275,11.780000000000001,203.18099999999998,5.916666666666666
323,2018-12-20,17,75,3.12,52.47,2.9499999999999997
324,2018-12-20,20,3209,206.61099999999996,2845.167,44.25000000000002
325,2018-12-20,21,377,16.069,283.944,10.816666666666665
326,2018-12-20,22,60,2.53,40.58,2.9499999999999997
327,2018-12-20,23,139,7.44999946,122.44000599999998,5.966666666666667
328,2018-12-21,0,131,5.46,90.47000000000001,6.883333333333333
329,2018-12-21,1,130,5.43,89.86,5.8999999999999995
330,2018-12-21,2,119,4.93,77.74,3.933333333333333
331,2018-12-21,13,224,9.24,157.121,8.85
332,2018-12-21,14,21,0.85,13.55,0.9833333333333333
333,2018-12-21,17,112,4.989999999999999,91.26999999999998,5.8999999999999995
334,2018-12-21,18,178,7.39,123.17,7.866666666666666
335,2018-12-21,19,68,2.9000000000000004,50.64,3.933333333333333
336,2018-12-21,21,60,2.46,40.56999999999999,2.9499999999999997
337,2018-12-21,22,94,4.05,71.44,4.916666666666666
338,2018-12-21,23,94,4.01,68.2,2.9499999999999997
339,2018-12-22,0,107,4.56,78.69,4.933333333333334
340,2018-12-22,1,174,7.309999999999999,123.39100000000002,7.883333333333333
341,2018-12-22,2,61,2.6100000000000003,46.839999999999996,2.9833333333333334
342,2018-12-22,3,113,4.84,80.85,4.916666666666666
343,2018-12-22,14,219,9.22,156.15,8.85
344,2018-12-22,15,124,5.22,86.94,4.916666666666666
345,2018-12-22,16,632,28.069999999999993,485.02,16.78333333333333
346,2018-12-22,17,55,2.91,48.520002000000005,2.9833333333333334
347,2018-12-22,18,169,8.08000004,132.1500004,12.933333333333334
348,2018-12-22,19,961,40.0399999,754.2699990000001,13.0
349,2018-12-22,20,36,1.59,31.73,1.0
350,2018-12-22,21,117,4.73,76.92999999999999,5.916666666666667
351,2018-12-22,22,10,0.49,8.88,1.0
352,2018-12-22,23,308,13.321,232.641,6.9
353,2018-12-23,1,16,0.68,11.66,0.9833333333333333
354,2018-12-23,2,81,3.4499999999999997,56.75,1.9666666666666666
355,2018-12-23,11,17,0.75,14.57,0.9833333333333333
356,2018-12-23,13,96,4.04,67.01299999999999,4.916666666666666
357,2018-12-23,14,36,1.56,27.880000000000003,1.9666666666666666
358,2018-12-23,16,120,5.149000000000001,83.09,5.8999999999999995
359,2018-12-23,17,302,12.81,218.42899999999995,10.816666666666665
360,2018-12-23,18,116,4.88,80.69,3.933333333333333
361,2018-12-23,20,17,0.7,12.11,0.9833333333333333
362,2018-12-23,21,15,0.6,10.16,0.9833333333333333
363,2018-12-23,22,88,3.7300000000000004,65.269,3.933333333333333
